item_id,date,p10,p50,p90
sri lanka,2021-04-05T00:00:00Z,-39.160369873,126.7565231323,718.5953369141
sri lanka,2021-04-06T00:00:00Z,-38.3044891357,169.2183990479,743.6530761719
sri lanka,2021-04-07T00:00:00Z,-34.1407012939,188.2985687256,1121.6247558594
sri lanka,2021-04-08T00:00:00Z,-36.1958808899,160.9934997559,1138.3413085938
sri lanka,2021-04-09T00:00:00Z,-42.604549408,146.1071624756,926.6599121094
sri lanka,2021-04-10T00:00:00Z,-38.5979881287,121.2384185791,822.3787841797
sri lanka,2021-04-11T00:00:00Z,-44.9234924316,82.8349456787,843.0480957031
sri lanka,2021-04-12T00:00:00Z,-33.4610366821,105.582244873,850.1724243164
sri lanka,2021-04-13T00:00:00Z,-25.5827331543,112.4416809082,931.1259155273
sri lanka,2021-04-14T00:00:00Z,-23.0593948364,128.605255127,973.5187988281
sri lanka,2021-04-15T00:00:00Z,-30.1308917999,107.8139801025,991.7822265625
sri lanka,2021-04-16T00:00:00Z,-29.7326469421,70.8297729492,938.4850463867
sri lanka,2021-04-17T00:00:00Z,-32.2023239136,95.0155487061,744.4733276367
sri lanka,2021-04-18T00:00:00Z,-34.8770523071,82.6112747192,774.9591064453
sri lanka,2021-04-19T00:00:00Z,-45.2890014648,53.7730941772,821.4455566406
sri lanka,2021-04-20T00:00:00Z,-44.0016403198,75.7684555054,806.1149902344
sri lanka,2021-04-21T00:00:00Z,-39.2276573181,70.3213653564,848.2295532227
sri lanka,2021-04-22T00:00:00Z,-27.8180427551,57.0125465393,933.4329223633
sri lanka,2021-04-23T00:00:00Z,-30.9837017059,43.4596328735,852.7655029297
sri lanka,2021-04-24T00:00:00Z,-35.0962219238,32.5076942444,781.8709106445
sri lanka,2021-04-25T00:00:00Z,-30.3665466309,29.4499740601,679.9249267578
sri lanka,2021-04-26T00:00:00Z,-55.4012069702,25.3837814331,679.9577636719
sri lanka,2021-04-27T00:00:00Z,-40.4209289551,39.5130119324,717.642578125
sri lanka,2021-04-28T00:00:00Z,-41.8846168518,30.7408695221,815.0141601562
sri lanka,2021-04-29T00:00:00Z,-36.069683075,28.0815143585,790.028503418
mongolia,2021-01-30T00:00:00Z,4.7044229507,21.2478294373,39.6328468323
mongolia,2021-01-31T00:00:00Z,-0.9806041718,15.6299142838,33.7445106506
mongolia,2021-02-01T00:00:00Z,2.4556965828,17.661775589,34.4976387024
mongolia,2021-02-02T00:00:00Z,-1.1197137833,13.9449081421,44.5120048523
mongolia,2021-02-03T00:00:00Z,-6.805973053,13.1291713715,37.5825767517
mongolia,2021-02-04T00:00:00Z,-5.6198606491,14.4712142944,58.7012329102
mongolia,2021-02-05T00:00:00Z,-7.4622068405,11.263094902,45.7096138
mongolia,2021-02-06T00:00:00Z,-4.6604585648,9.0339374542,39.3062591553
mongolia,2021-02-07T00:00:00Z,-5.273545742,6.7814121246,36.1743125916
mongolia,2021-02-08T00:00:00Z,-2.1245748997,10.721988678,41.9808120728
mongolia,2021-02-09T00:00:00Z,-3.5048661232,8.9638385773,46.8887290955
mongolia,2021-02-10T00:00:00Z,-4.0951318741,7.5011129379,42.6606559753
mongolia,2021-02-11T00:00:00Z,-3.4123680592,6.1575598717,58.2846755981
mongolia,2021-02-12T00:00:00Z,-7.3412322998,6.0424051285,47.4873580933
mongolia,2021-02-13T00:00:00Z,-2.2714929581,6.5628108978,36.4528083801
mongolia,2021-02-14T00:00:00Z,-3.4087262154,4.6925826073,45.0699539185
mongolia,2021-02-15T00:00:00Z,-2.5038337708,3.0739955902,42.302192688
mongolia,2021-02-16T00:00:00Z,-1.4160237312,4.6429243088,36.038394928
mongolia,2021-02-17T00:00:00Z,-2.6396751404,2.5391182899,32.9982719421
mongolia,2021-02-18T00:00:00Z,-4.3371500969,3.2685613632,34.3224563599
mongolia,2021-02-19T00:00:00Z,-3.3240838051,2.2190301418,44.4242401123
mongolia,2021-02-20T00:00:00Z,-3.3947887421,2.7173371315,42.5388336182
mongolia,2021-02-21T00:00:00Z,-2.7546796799,1.9403498173,50.2217559814
mongolia,2021-02-22T00:00:00Z,-3.8034858704,0.8909606934,33.4588432312
mongolia,2021-02-23T00:00:00Z,-2.7623159885,1.7218590975,28.9080200195
mongolia,2021-02-24T00:00:00Z,-2.0504674911,1.2686479092,33.0703430176
mongolia,2021-02-25T00:00:00Z,-4.5725255013,0.5652508736,34.4055595398
mongolia,2021-02-26T00:00:00Z,-2.0397472382,0.7885341644,28.3816947937
mongolia,2021-02-27T00:00:00Z,-3.1473503113,1.1012076139,27.7825260162
mongolia,2021-02-28T00:00:00Z,-1.1068940163,1.3661805391,17.9855556488
mongolia,2021-03-01T00:00:00Z,-2.1329810619,1.0267964602,29.0708961487
mongolia,2021-03-02T00:00:00Z,-2.6878540516,0.5059717894,25.0559253693
mongolia,2021-03-03T00:00:00Z,-1.5949699879,1.0357370377,21.8742523193
mongolia,2021-03-04T00:00:00Z,-2.0804929733,0.2035197914,18.167016983
mongolia,2021-03-05T00:00:00Z,-2.2186188698,-0.3962112665,12.635222435
mongolia,2021-03-06T00:00:00Z,-1.4025251865,0.1629645377,27.8381786346
mongolia,2021-03-07T00:00:00Z,-2.1178576946,0.2576591372,22.4693775177
mongolia,2021-03-08T00:00:00Z,-1.2548029423,0.1712290645,26.3667831421
mongolia,2021-03-09T00:00:00Z,-1.5084915161,0.3222747147,33.5866470337
mongolia,2021-03-10T00:00:00Z,-2.2550418377,-0.0024674237,28.2432613373
mongolia,2021-03-11T00:00:00Z,-1.4779490232,-0.0240483582,9.9217405319
mongolia,2021-03-12T00:00:00Z,-2.6545743942,0.1453046203,12.8967580795
mongolia,2021-03-13T00:00:00Z,-0.828756392,0.2471486926,14.478679657
mongolia,2021-03-14T00:00:00Z,-1.1498034,0.237179026,17.6741580963
mongolia,2021-03-15T00:00:00Z,-1.800285697,0.1147421598,10.9980812073
mongolia,2021-03-16T00:00:00Z,-1.1943980455,0.2078285515,15.7249193192
mongolia,2021-03-17T00:00:00Z,-2.849126339,0.144575119,8.1656551361
mongolia,2021-03-18T00:00:00Z,-2.0900697708,0.0411655456,6.5363206863
mongolia,2021-03-19T00:00:00Z,-1.1624609232,0.0510406308,4.755548954
mongolia,2021-03-20T00:00:00Z,-2.2407565117,0.0232465863,5.0856022835
mongolia,2021-03-21T00:00:00Z,-1.1650265455,0.0157639831,4.4647073746
mongolia,2021-03-22T00:00:00Z,-1.5612580776,0.0087074209,5.0658812523
mongolia,2021-03-23T00:00:00Z,-1.3399590254,0.1300812662,4.0826563835
mongolia,2021-03-24T00:00:00Z,-1.3714078665,0.1324612498,7.1576538086
mongolia,2021-03-25T00:00:00Z,-2.2888035774,-0.1459492147,1.8473420143
mongolia,2021-03-26T00:00:00Z,-1.7348582745,-0.0972460657,2.0124578476
mongolia,2021-03-27T00:00:00Z,-0.7154605985,-0.0203216374,3.6032862663
mongolia,2021-03-28T00:00:00Z,-1.054782033,0.0024546869,3.37423563
mongolia,2021-03-29T00:00:00Z,-1.4654706717,-0.0792559013,1.6311643124
mongolia,2021-03-30T00:00:00Z,-0.9411273599,0.2765323818,4.7364044189
mongolia,2021-03-31T00:00:00Z,-1.0347031355,0.1755670905,4.7552289963
mongolia,2021-04-01T00:00:00Z,-1.2451858521,-0.1432304978,2.1619646549
mongolia,2021-04-02T00:00:00Z,-0.991713047,-0.0255799294,4.164270401
mongolia,2021-04-03T00:00:00Z,-0.8015826941,0.0138858631,6.4854216576
mongolia,2021-04-04T00:00:00Z,-0.6902299523,0.2256245762,3.751585722
mongolia,2021-04-05T00:00:00Z,-1.3296185732,0.0569443293,3.3051643372
mongolia,2021-04-06T00:00:00Z,-0.9602611661,0.0818889588,3.6181111336
mongolia,2021-04-07T00:00:00Z,-1.831158042,0.0165351182,1.7569025755
mongolia,2021-04-08T00:00:00Z,-1.2691816092,-0.0011067986,2.3403396606
mongolia,2021-04-09T00:00:00Z,-1.4749453068,-0.0729995295,1.9007438421
mongolia,2021-04-10T00:00:00Z,-1.4419844151,-0.0968477279,1.5816620588
mongolia,2021-04-11T00:00:00Z,-1.8198531866,0.0038086325,2.5781831741
mongolia,2021-04-12T00:00:00Z,-0.8657277226,-0.0187827051,1.5588889122
mongolia,2021-04-13T00:00:00Z,-1.1962629557,-0.1719925702,2.916932106
mongolia,2021-04-14T00:00:00Z,-1.018474102,-0.132243216,1.7477402687
mongolia,2021-04-15T00:00:00Z,-1.3463208675,-0.0344999805,1.6022384167
mongolia,2021-04-16T00:00:00Z,-0.9138073921,0.0198826548,2.0707023144
mongolia,2021-04-17T00:00:00Z,-1.1201921701,-0.1098985299,1.5867601633
mongolia,2021-04-18T00:00:00Z,-0.9774371982,0.0153421164,2.0205802917
mongolia,2021-04-19T00:00:00Z,-1.115018487,0.0107330382,2.391623497
mongolia,2021-04-20T00:00:00Z,-1.3428120613,0.0784829408,2.1098911762
mongolia,2021-04-21T00:00:00Z,-1.2655192614,0.0035628527,2.0289852619
mongolia,2021-04-22T00:00:00Z,-0.6358977556,0.0137577355,1.2447754145
mongolia,2021-04-23T00:00:00Z,-1.8268990517,-0.0892211646,1.1709530354
mongolia,2021-04-24T00:00:00Z,-1.2160016298,-0.2111591548,0.8139413595
mongolia,2021-04-25T00:00:00Z,-1.0491496325,0.0306069441,2.3622784615
mongolia,2021-04-26T00:00:00Z,-0.7678570747,0.0792861432,1.5918732882
mongolia,2021-04-27T00:00:00Z,-1.3713457584,0.081807375,1.4830480814
mongolia,2021-04-28T00:00:00Z,-0.9584411383,0.0418896861,1.395860672
mongolia,2021-04-29T00:00:00Z,-1.3624093533,-0.1214572638,1.0054360628
israel,2021-01-30T00:00:00Z,4439.9106445312,5335.8852539062,6289.8857421875
israel,2021-01-31T00:00:00Z,3683.1284179688,4848.08203125,6368.5747070312
israel,2021-02-01T00:00:00Z,4573.8779296875,6435.2685546875,7899.0537109375
israel,2021-02-02T00:00:00Z,4396.162109375,5632.4458007812,8033.8486328125
israel,2021-02-03T00:00:00Z,3870.8544921875,5731.7885742188,7164.103515625
israel,2021-02-04T00:00:00Z,3705.8510742188,5329.6416015625,6872.1879882812
israel,2021-02-05T00:00:00Z,3248.0239257812,4516.7143554688,6479.4853515625
israel,2021-02-06T00:00:00Z,3523.1484375,4740.7416992188,6374.1923828125
israel,2021-02-07T00:00:00Z,3428.4194335938,5105.5600585938,7462.833984375
israel,2021-02-08T00:00:00Z,4457.1201171875,6118.01171875,8538.525390625
israel,2021-02-09T00:00:00Z,3300.8486328125,5102.6875,7449.552734375
israel,2021-02-10T00:00:00Z,3373.4809570312,5206.2651367188,8280.322265625
israel,2021-02-11T00:00:00Z,2891.6789550781,5204.35546875,7677.2841796875
israel,2021-02-12T00:00:00Z,2260.185546875,4192.3754882812,7116.91796875
israel,2021-02-13T00:00:00Z,2624.38671875,4668.982421875,7402.693359375
israel,2021-02-14T00:00:00Z,2005.8309326172,4669.3491210938,7369.3037109375
israel,2021-02-15T00:00:00Z,2544.9477539062,5440.41796875,8948.119140625
israel,2021-02-16T00:00:00Z,2454.0771484375,4902.0620117188,7614.2211914062
israel,2021-02-17T00:00:00Z,2529.5126953125,4700.9541015625,7424.8701171875
israel,2021-02-18T00:00:00Z,2491.9392089844,4669.6791992188,7676.5258789062
israel,2021-02-19T00:00:00Z,1829.1715087891,4120.8032226562,6784.2026367188
israel,2021-02-20T00:00:00Z,2109.3884277344,3912.37890625,7195.3510742188
israel,2021-02-21T00:00:00Z,1747.7155761719,3763.2282714844,7134.3154296875
israel,2021-02-22T00:00:00Z,2583.0395507812,4995.8032226562,7894.015625
israel,2021-02-23T00:00:00Z,1965.7415771484,4652.6606445312,8587.791015625
israel,2021-02-24T00:00:00Z,1782.9992675781,4036.8371582031,7484.8979492188
israel,2021-02-25T00:00:00Z,1773.8952636719,4369.189453125,8351.998046875
israel,2021-02-26T00:00:00Z,1770.9011230469,3873.7846679688,7710.9497070312
israel,2021-02-27T00:00:00Z,1776.9051513672,4011.9987792969,8258.240234375
israel,2021-02-28T00:00:00Z,1674.0856933594,4123.8188476562,7627.3217773438
israel,2021-03-01T00:00:00Z,1949.455078125,4344.0766601562,8169.3540039062
israel,2021-03-02T00:00:00Z,1578.8067626953,4187.7421875,8849.2890625
israel,2021-03-03T00:00:00Z,1749.5794677734,4062.6701660156,7844.8662109375
israel,2021-03-04T00:00:00Z,1729.0943603516,3874.1579589844,8463.2119140625
israel,2021-03-05T00:00:00Z,1466.8754882812,3761.0922851562,7653.1494140625
israel,2021-03-06T00:00:00Z,1700.3686523438,3627.8134765625,8115.9965820312
israel,2021-03-07T00:00:00Z,1449.2362060547,3644.0786132812,8895.3662109375
israel,2021-03-08T00:00:00Z,1532.908203125,3849.2145996094,8762.078125
israel,2021-03-09T00:00:00Z,1565.3265380859,3730.3510742188,8636.0244140625
israel,2021-03-10T00:00:00Z,1545.8565673828,3588.3317871094,9243.6787109375
israel,2021-03-11T00:00:00Z,1436.9202880859,3764.271484375,8340.3095703125
israel,2021-03-12T00:00:00Z,1183.80078125,3360.6359863281,8321.3232421875
israel,2021-03-13T00:00:00Z,1383.1608886719,3131.3813476562,8895.7529296875
israel,2021-03-14T00:00:00Z,1184.1395263672,3182.5078125,8926.73828125
israel,2021-03-15T00:00:00Z,1110.5430908203,3432.794921875,8421.7509765625
israel,2021-03-16T00:00:00Z,1249.2452392578,3456.3837890625,9124.8369140625
israel,2021-03-17T00:00:00Z,1296.1861572266,3172.9377441406,8648.94140625
israel,2021-03-18T00:00:00Z,884.8939819336,3318.7780761719,8338.7470703125
israel,2021-03-19T00:00:00Z,893.7960205078,3198.4089355469,7333.390625
israel,2021-03-20T00:00:00Z,975.0742797852,3019.0180664062,7157.9091796875
israel,2021-03-21T00:00:00Z,823.1181030273,3069.9755859375,7353.169921875
israel,2021-03-22T00:00:00Z,1227.6235351562,3203.8891601562,8222.7216796875
israel,2021-03-23T00:00:00Z,748.8217773438,3096.3408203125,8630.044921875
israel,2021-03-24T00:00:00Z,820.8388671875,2865.5798339844,8046.8715820312
israel,2021-03-25T00:00:00Z,951.3271484375,2982.564453125,7931.0703125
israel,2021-03-26T00:00:00Z,778.6705322266,2888.8063964844,8868.5087890625
israel,2021-03-27T00:00:00Z,669.1646118164,2838.4799804688,7876.0874023438
israel,2021-03-28T00:00:00Z,665.083984375,2588.5661621094,7878.8173828125
israel,2021-03-29T00:00:00Z,599.7633056641,2544.8725585938,8633.6435546875
israel,2021-03-30T00:00:00Z,472.0255432129,2527.8081054688,8248.6328125
israel,2021-03-31T00:00:00Z,565.6133422852,2513.3334960938,7743.7841796875
israel,2021-04-01T00:00:00Z,492.46875,2439.1435546875,8200.494140625
israel,2021-04-02T00:00:00Z,456.2503051758,2152.7810058594,7955.01953125
israel,2021-04-03T00:00:00Z,466.7177429199,2373.2189941406,8100.16015625
israel,2021-04-04T00:00:00Z,404.028717041,2238.7397460938,7752.689453125
israel,2021-04-05T00:00:00Z,384.3079528809,2091.6000976562,7815.2290039062
israel,2021-04-06T00:00:00Z,380.6078491211,2143.3332519531,8593.765625
israel,2021-04-07T00:00:00Z,311.2649230957,2117.0810546875,8864.6298828125
israel,2021-04-08T00:00:00Z,268.1504516602,2230.2270507812,8762.056640625
israel,2021-04-09T00:00:00Z,298.0893249512,2083.1618652344,8577.21484375
israel,2021-04-10T00:00:00Z,277.1819458008,2031.5578613281,8197.16796875
israel,2021-04-11T00:00:00Z,148.6532897949,1873.2545166016,8468.8115234375
israel,2021-04-12T00:00:00Z,157.9649658203,1877.9221191406,8273.67578125
israel,2021-04-13T00:00:00Z,174.4787750244,1911.4681396484,9332.31640625
israel,2021-04-14T00:00:00Z,134.7133789062,1834.1588134766,9862.4326171875
israel,2021-04-15T00:00:00Z,176.8611297607,1822.5166015625,8827.38671875
israel,2021-04-16T00:00:00Z,206.6789398193,1897.0921630859,8421.5263671875
israel,2021-04-17T00:00:00Z,53.9525222778,1661.0447998047,7586.869140625
israel,2021-04-18T00:00:00Z,84.1222229004,1566.5865478516,8005.5322265625
israel,2021-04-19T00:00:00Z,81.4725341797,1598.3768310547,8276.7470703125
israel,2021-04-20T00:00:00Z,10.7857055664,1674.4177246094,8502.8125
israel,2021-04-21T00:00:00Z,14.8307800293,1299.5837402344,8564.728515625
israel,2021-04-22T00:00:00Z,52.1653671265,1373.8681640625,8761.880859375
israel,2021-04-23T00:00:00Z,-68.1526260376,1438.5217285156,8740.873046875
israel,2021-04-24T00:00:00Z,-33.9082107544,1397.4128417969,8927.7490234375
israel,2021-04-25T00:00:00Z,-53.5657424927,1191.5700683594,8907.359375
israel,2021-04-26T00:00:00Z,-113.9492492676,1043.2312011719,9733.4189453125
israel,2021-04-27T00:00:00Z,-100.8564147949,1128.0187988281,9910.5390625
israel,2021-04-28T00:00:00Z,-119.2090454102,941.1898193359,10269.220703125
israel,2021-04-29T00:00:00Z,-98.3938293457,1184.3950195312,10467.4482421875
iraq,2021-01-30T00:00:00Z,658.2247924805,805.8329467773,950.0666503906
iraq,2021-01-31T00:00:00Z,653.4360351562,770.0174560547,963.4303588867
iraq,2021-02-01T00:00:00Z,569.8970336914,771.3435668945,952.4875488281
iraq,2021-02-02T00:00:00Z,632.227722168,805.3728027344,985.633605957
iraq,2021-02-03T00:00:00Z,609.7664794922,796.1050415039,1024.8819580078
iraq,2021-02-04T00:00:00Z,586.7373046875,772.4180908203,1054.8674316406
iraq,2021-02-05T00:00:00Z,575.0595703125,748.5855102539,996.1799926758
iraq,2021-02-06T00:00:00Z,520.9517211914,723.9758300781,1089.4525146484
iraq,2021-02-07T00:00:00Z,480.8656005859,677.6553955078,975.3418579102
iraq,2021-02-08T00:00:00Z,425.9577636719,676.7416381836,1007.4379882812
iraq,2021-02-09T00:00:00Z,424.4497070312,721.7153320312,1022.7111816406
iraq,2021-02-10T00:00:00Z,431.6785583496,711.9290771484,1091.0294189453
iraq,2021-02-11T00:00:00Z,451.0131225586,710.2865600586,1042.1995849609
iraq,2021-02-12T00:00:00Z,418.1403503418,647.6618652344,1065.0682373047
iraq,2021-02-13T00:00:00Z,379.0811157227,607.7463378906,1062.2153320312
iraq,2021-02-14T00:00:00Z,281.4756774902,604.5791015625,1033.8359375
iraq,2021-02-15T00:00:00Z,218.7763671875,560.4498291016,1014.380065918
iraq,2021-02-16T00:00:00Z,283.0180664062,572.7094116211,1012.0549316406
iraq,2021-02-17T00:00:00Z,287.5220947266,547.6680908203,1192.7020263672
iraq,2021-02-18T00:00:00Z,303.956817627,586.8228149414,1144.1932373047
iraq,2021-02-19T00:00:00Z,231.3353881836,498.8151550293,1099.6157226562
iraq,2021-02-20T00:00:00Z,208.3460998535,463.8826293945,954.5176391602
iraq,2021-02-21T00:00:00Z,204.2041015625,445.4508361816,964.2600708008
iraq,2021-02-22T00:00:00Z,145.1414489746,369.2571411133,1011.4279785156
iraq,2021-02-23T00:00:00Z,161.935836792,399.0786743164,944.8448486328
iraq,2021-02-24T00:00:00Z,149.9744415283,391.6809997559,956.477355957
iraq,2021-02-25T00:00:00Z,178.8854827881,377.7512512207,922.9313354492
iraq,2021-02-26T00:00:00Z,128.4931488037,353.2171936035,911.4500732422
iraq,2021-02-27T00:00:00Z,105.7249526978,329.2391662598,829.3525390625
iraq,2021-02-28T00:00:00Z,53.7725601196,297.4893188477,876.1405029297
iraq,2021-03-01T00:00:00Z,29.2418479919,286.5968933105,863.6367797852
iraq,2021-03-02T00:00:00Z,9.0774431229,292.0078125,934.8941040039
