item_id,date,p10,p50,p90
philippines,2021-01-30T00:00:00Z,1409.7121582031,1641.8686523438,1897.8504638672
philippines,2021-01-31T00:00:00Z,1253.1114501953,1488.4138183594,1816.7760009766
philippines,2021-02-01T00:00:00Z,1020.9478759766,1388.0550537109,1711.4351806641
philippines,2021-02-02T00:00:00Z,997.7427978516,1198.658203125,1611.4816894531
philippines,2021-02-03T00:00:00Z,1089.8686523438,1469.4506835938,1794.58203125
philippines,2021-02-04T00:00:00Z,1040.4963378906,1480.8765869141,1877.7421875
philippines,2021-02-05T00:00:00Z,1160.7061767578,1607.9260253906,2099.6813964844
philippines,2021-02-06T00:00:00Z,1071.8233642578,1575.1257324219,2056.0485839844
philippines,2021-02-07T00:00:00Z,879.9513549805,1377.2893066406,1949.1076660156
philippines,2021-02-08T00:00:00Z,877.8706054688,1289.6364746094,1808.1051025391
philippines,2021-02-09T00:00:00Z,748.6792602539,1238.6522216797,1697.5390625
philippines,2021-02-10T00:00:00Z,889.8110961914,1416.3742675781,1923.6408691406
philippines,2021-02-11T00:00:00Z,802.7682495117,1407.5267333984,1840.5645751953
philippines,2021-02-12T00:00:00Z,955.7983398438,1434.5053710938,2092.6467285156
philippines,2021-02-13T00:00:00Z,853.1439208984,1415.1507568359,2045.2662353516
philippines,2021-02-14T00:00:00Z,719.9191894531,1279.0687255859,1859.2087402344
philippines,2021-02-15T00:00:00Z,559.8686523438,1125.9538574219,1809.4025878906
philippines,2021-02-16T00:00:00Z,631.3994750977,1161.5172119141,1728.90234375
philippines,2021-02-17T00:00:00Z,734.6039428711,1259.0919189453,1865.6494140625
philippines,2021-02-18T00:00:00Z,714.5651245117,1251.9263916016,1786.8660888672
philippines,2021-02-19T00:00:00Z,750.9783935547,1278.7728271484,1952.7719726562
philippines,2021-02-20T00:00:00Z,672.4591674805,1196.947265625,2054.0407714844
philippines,2021-02-21T00:00:00Z,596.4343261719,1058.9490966797,1794.0086669922
philippines,2021-02-22T00:00:00Z,355.7490539551,929.3228759766,1707.0296630859
philippines,2021-02-23T00:00:00Z,397.0091552734,948.9346923828,1868.8170166016
philippines,2021-02-24T00:00:00Z,557.2897949219,1117.4354248047,1965.3436279297
philippines,2021-02-25T00:00:00Z,481.9433288574,1026.6997070312,1778.0089111328
philippines,2021-02-26T00:00:00Z,548.7830200195,1122.4868164062,2086.896484375
philippines,2021-02-27T00:00:00Z,471.052520752,1020.6325683594,2009.9970703125
philippines,2021-02-28T00:00:00Z,443.108215332,896.9016113281,1831.5538330078
philippines,2021-03-01T00:00:00Z,263.0919189453,815.1926269531,1582.9580078125
philippines,2021-03-02T00:00:00Z,325.9821166992,824.3012695312,1817.5174560547
philippines,2021-03-03T00:00:00Z,304.9382629395,919.2086791992,1875.8984375
philippines,2021-03-04T00:00:00Z,387.246307373,981.1379394531,1848.8278808594
philippines,2021-03-05T00:00:00Z,418.0129089355,1020.6090087891,1857.4790039062
philippines,2021-03-06T00:00:00Z,303.847869873,996.0500488281,1894.8448486328
philippines,2021-03-07T00:00:00Z,321.7793273926,875.1064453125,1861.0225830078
philippines,2021-03-08T00:00:00Z,258.5777282715,765.1389770508,1703.6831054688
philippines,2021-03-09T00:00:00Z,190.2037353516,838.7570800781,1941.5546875
philippines,2021-03-10T00:00:00Z,261.2196350098,941.4376220703,1904.1661376953
philippines,2021-03-11T00:00:00Z,271.4945678711,891.1889038086,1938.8988037109
philippines,2021-03-12T00:00:00Z,285.6090698242,906.9857177734,1797.9544677734
philippines,2021-03-13T00:00:00Z,208.3615112305,823.1619262695,1800.1892089844
philippines,2021-03-14T00:00:00Z,143.8362121582,720.6975708008,1883.5771484375
philippines,2021-03-15T00:00:00Z,161.9489593506,709.6299438477,1838.1690673828
philippines,2021-03-16T00:00:00Z,96.7171325684,702.7259521484,1805.0983886719
philippines,2021-03-17T00:00:00Z,167.9588165283,738.6171875,1917.271484375
philippines,2021-03-18T00:00:00Z,99.9005966187,686.811340332,1904.7933349609
philippines,2021-03-19T00:00:00Z,195.1740570068,747.6925048828,2074.6896972656
philippines,2021-03-20T00:00:00Z,96.0503845215,657.5567626953,1785.7259521484
philippines,2021-03-21T00:00:00Z,97.4615020752,537.7016601562,1669.5537109375
philippines,2021-03-22T00:00:00Z,13.3835449219,492.7051086426,1610.7884521484
philippines,2021-03-23T00:00:00Z,67.0223922729,555.9403076172,1794.7941894531
philippines,2021-03-24T00:00:00Z,73.276550293,641.1605224609,1897.9276123047
philippines,2021-03-25T00:00:00Z,63.03698349,602.8685913086,1996.5170898438
philippines,2021-03-26T00:00:00Z,74.250831604,549.6376342773,1903.5159912109
philippines,2021-03-27T00:00:00Z,71.9387741089,560.2067871094,1655.5164794922
philippines,2021-03-28T00:00:00Z,-0.5574760437,471.5301513672,1787.5201416016
philippines,2021-03-29T00:00:00Z,-74.3063201904,411.7640075684,1689.2465820312
philippines,2021-03-30T00:00:00Z,-28.8232154846,412.5363769531,1883.3520507812
philippines,2021-03-31T00:00:00Z,-3.0225830078,472.7763061523,1882.8511962891
philippines,2021-04-01T00:00:00Z,-28.0161056519,386.359954834,1826.0024414062
philippines,2021-04-02T00:00:00Z,-7.1723604202,398.9088439941,2019.7222900391
philippines,2021-04-03T00:00:00Z,-18.0282402039,293.9280395508,2074.6188964844
philippines,2021-04-04T00:00:00Z,-10.7690315247,287.5773010254,1683.5244140625
philippines,2021-04-05T00:00:00Z,-60.7537231445,274.9211425781,1799.8551025391
philippines,2021-04-06T00:00:00Z,-57.8704109192,264.7462158203,1852.1340332031
philippines,2021-04-07T00:00:00Z,-57.4055976868,318.282989502,1858.8880615234
philippines,2021-04-08T00:00:00Z,-81.9683532715,245.0161895752,1680.4200439453
philippines,2021-04-09T00:00:00Z,-51.8346862793,272.6561584473,1998.9964599609
philippines,2021-04-10T00:00:00Z,-63.998336792,246.8442687988,1857.5778808594
philippines,2021-04-11T00:00:00Z,-84.7828216553,188.033203125,1706.2585449219
philippines,2021-04-12T00:00:00Z,-94.4901046753,184.1393127441,1511.9506835938
philippines,2021-04-13T00:00:00Z,-93.7683486938,182.9242553711,2117.3076171875
philippines,2021-04-14T00:00:00Z,-67.9773864746,214.2933654785,1638.1993408203
philippines,2021-04-15T00:00:00Z,-75.9864425659,181.6976013184,1631.7647705078
philippines,2021-04-16T00:00:00Z,-69.9117965698,183.798248291,1724.4321289062
philippines,2021-04-17T00:00:00Z,-81.5903015137,181.026550293,1601.6340332031
philippines,2021-04-18T00:00:00Z,-69.9643173218,155.6657104492,1475.0388183594
philippines,2021-04-19T00:00:00Z,-87.4145889282,91.6309585571,1353.6435546875
philippines,2021-04-20T00:00:00Z,-87.1620330811,132.0324249268,1372.0867919922
philippines,2021-04-21T00:00:00Z,-74.5267791748,115.9255523682,1402.5665283203
philippines,2021-04-22T00:00:00Z,-78.7847671509,130.6821289062,1442.7874755859
philippines,2021-04-23T00:00:00Z,-95.9648895264,103.1321868896,1464.5792236328
philippines,2021-04-24T00:00:00Z,-89.3727111816,142.9835205078,1488.2092285156
philippines,2021-04-25T00:00:00Z,-75.3243713379,74.2159805298,1382.7858886719
philippines,2021-04-26T00:00:00Z,-120.0990600586,81.9650192261,1213.3166503906
philippines,2021-04-27T00:00:00Z,-117.1906356812,36.8994140625,1690.0327148438
philippines,2021-04-28T00:00:00Z,-112.2808074951,134.2786102295,1498.1076660156
philippines,2021-04-29T00:00:00Z,-103.0827941895,89.7114486694,1848.6342773438
singapore,2021-01-30T00:00:00Z,9.076672554,22.8105659485,37.9889755249
singapore,2021-01-31T00:00:00Z,7.4958524704,20.4362411499,36.5063362122
singapore,2021-02-01T00:00:00Z,5.3701782227,21.0132465363,36.6152572632
singapore,2021-02-02T00:00:00Z,0.2578144073,17.1008720398,47.1614074707
singapore,2021-02-03T00:00:00Z,-2.2561206818,17.6185646057,42.4697036743
singapore,2021-02-04T00:00:00Z,0.1886425018,17.0893611908,55.4391860962
singapore,2021-02-05T00:00:00Z,-1.7754192352,13.0784225464,38.7693481445
singapore,2021-02-06T00:00:00Z,-3.8834125996,12.138425827,37.395324707
singapore,2021-02-07T00:00:00Z,-0.4063175321,12.8929367065,43.4575881958
singapore,2021-02-08T00:00:00Z,-2.5890684128,15.6942958832,44.261051178
singapore,2021-02-09T00:00:00Z,-4.9808168411,10.067489624,45.9707794189
singapore,2021-02-10T00:00:00Z,-3.565284729,10.2847490311,46.7733840942
singapore,2021-02-11T00:00:00Z,-2.6408081055,9.7061805725,68.0882644653
singapore,2021-02-12T00:00:00Z,-8.8611211777,6.8151102066,58.0363235474
singapore,2021-02-13T00:00:00Z,-1.8961880207,8.3752727509,37.9333763123
singapore,2021-02-14T00:00:00Z,-1.9020395279,7.4209842682,62.5799064636
singapore,2021-02-15T00:00:00Z,-2.4595842361,5.2989168167,55.4481430054
singapore,2021-02-16T00:00:00Z,-1.5486441851,6.8049373627,43.0127639771
singapore,2021-02-17T00:00:00Z,-2.2238941193,5.5555267334,50.5832099915
singapore,2021-02-18T00:00:00Z,-5.9210128784,4.9768805504,50.3300018311
singapore,2021-02-19T00:00:00Z,-3.9092750549,2.0060317516,56.7304496765
singapore,2021-02-20T00:00:00Z,-3.5607700348,3.5509858131,44.9083404541
singapore,2021-02-21T00:00:00Z,-3.2482359409,3.82508111,58.4154815674
singapore,2021-02-22T00:00:00Z,-3.9505844116,1.0942773819,37.8137931824
singapore,2021-02-23T00:00:00Z,-3.5136497021,2.1688652039,44.1759986877
singapore,2021-02-24T00:00:00Z,-2.6692452431,1.3864120245,44.4000053406
singapore,2021-02-25T00:00:00Z,-4.69728899,1.4310097694,56.020450592
singapore,2021-02-26T00:00:00Z,-2.8038568497,1.0290300846,38.295501709
singapore,2021-02-27T00:00:00Z,-2.2779827118,1.0387016535,61.4753570557
singapore,2021-02-28T00:00:00Z,-1.5034303665,1.7317994833,31.8714237213
singapore,2021-03-01T00:00:00Z,-2.8287172318,1.2525295019,45.3054733276
singapore,2021-03-02T00:00:00Z,-2.3669114113,0.273665309,35.0193901062
singapore,2021-03-03T00:00:00Z,-1.7981004715,0.7570414543,42.034614563
singapore,2021-03-04T00:00:00Z,-2.7321043015,-0.1877313256,45.9845657349
singapore,2021-03-05T00:00:00Z,-2.5933952332,0.0963211581,22.2293376923
singapore,2021-03-06T00:00:00Z,-1.8137261868,0.4241778851,40.2815551758
singapore,2021-03-07T00:00:00Z,-1.6798911095,0.725345552,31.1984424591
