item_id,date,p10,p50,p90
palestine,2021-01-30T00:00:00Z,324.1050109863,444.0237426758,575.6665649414
palestine,2021-01-31T00:00:00Z,291.4642944336,419.2936096191,551.2490234375
palestine,2021-02-01T00:00:00Z,280.4243774414,429.9747619629,576.5291748047
palestine,2021-02-02T00:00:00Z,311.5240783691,420.1008300781,615.1392211914
palestine,2021-02-03T00:00:00Z,315.546081543,474.4182434082,636.3192138672
palestine,2021-02-04T00:00:00Z,319.2956542969,446.832611084,637.7998657227
palestine,2021-02-05T00:00:00Z,222.7618103027,401.0907897949,552.3762817383
palestine,2021-02-06T00:00:00Z,178.8950195312,348.0816955566,518.2283325195
palestine,2021-02-07T00:00:00Z,168.9340820312,358.897064209,532.1489257812
palestine,2021-02-08T00:00:00Z,173.9172363281,342.5000610352,576.6428222656
palestine,2021-02-09T00:00:00Z,222.0637969971,373.6234436035,585.4307250977
palestine,2021-02-10T00:00:00Z,215.2410430908,374.0421142578,606.6555175781
palestine,2021-02-11T00:00:00Z,167.8361053467,373.524230957,558.0290527344
palestine,2021-02-12T00:00:00Z,121.3404541016,305.1383056641,506.1140441895
palestine,2021-02-13T00:00:00Z,89.7126464844,240.4915924072,548.9207763672
palestine,2021-02-14T00:00:00Z,31.513168335,224.9993591309,444.0078735352
palestine,2021-02-15T00:00:00Z,43.5412750244,228.6245880127,513.7792358398
palestine,2021-02-16T00:00:00Z,80.3161087036,235.394821167,492.3276672363
palestine,2021-02-17T00:00:00Z,63.9260025024,243.560043335,475.0377502441
palestine,2021-02-18T00:00:00Z,5.2491760254,220.5267181396,477.4669494629
palestine,2021-02-19T00:00:00Z,17.2871379852,188.5019989014,403.6569824219
palestine,2021-02-20T00:00:00Z,-4.9842605591,164.4511108398,415.5527954102
palestine,2021-02-21T00:00:00Z,-23.9325847626,150.3136291504,383.0043334961
palestine,2021-02-22T00:00:00Z,-53.72706604,127.3778381348,327.2206726074
palestine,2021-02-23T00:00:00Z,-10.0466995239,132.9457550049,388.8825378418
palestine,2021-02-24T00:00:00Z,-40.1105041504,137.1190185547,369.1376647949
palestine,2021-02-25T00:00:00Z,-74.7318878174,113.1667861938,365.3039855957
palestine,2021-02-26T00:00:00Z,-27.4083843231,95.6178283691,314.0109863281
palestine,2021-02-27T00:00:00Z,-69.3148117065,74.8170776367,275.5422363281
palestine,2021-02-28T00:00:00Z,-57.1843299866,69.1154632568,253.258972168
palestine,2021-03-01T00:00:00Z,-97.2377243042,27.2646083832,260.1842041016
palestine,2021-03-02T00:00:00Z,-79.5690155029,66.3219604492,299.3117370605
palestine,2021-03-03T00:00:00Z,-54.1805038452,56.1400604248,260.9465942383
palestine,2021-03-04T00:00:00Z,-91.5369567871,44.4052810669,221.296081543
palestine,2021-03-05T00:00:00Z,-80.0227203369,28.2396125793,233.6212158203
palestine,2021-03-06T00:00:00Z,-75.2872467041,19.8089675903,212.8275909424
palestine,2021-03-07T00:00:00Z,-85.6628723145,33.4670295715,266.7161254883
